run,tag,step,value
model_602,Episode_Reward/ang_vel_y_l2,553,-0.012846071273088455
model_602,Episode_Reward/ang_vel_y_l2,554,-0.012100312858819962
model_602,Episode_Reward/ang_vel_y_l2,555,-0.012244532816112041
model_602,Episode_Reward/ang_vel_y_l2,556,-0.01240510679781437
model_602,Episode_Reward/ang_vel_y_l2,557,-0.011905495077371597
model_602,Episode_Reward/ang_vel_y_l2,558,-0.0114522036164999
model_602,Episode_Reward/ang_vel_y_l2,559,-0.01203661784529686
model_602,Episode_Reward/ang_vel_y_l2,560,-0.011658391915261745
model_602,Episode_Reward/ang_vel_y_l2,561,-0.011450041085481644
model_602,Episode_Reward/ang_vel_y_l2,562,-0.011989776045084
model_602,Episode_Reward/ang_vel_y_l2,563,-0.011746898293495178
model_602,Episode_Reward/ang_vel_y_l2,564,-0.011650902219116688
model_602,Episode_Reward/ang_vel_y_l2,565,-0.01146062184125185
model_602,Episode_Reward/ang_vel_y_l2,566,-0.012426882982254028
model_602,Episode_Reward/ang_vel_y_l2,567,-0.011945396661758423
model_602,Episode_Reward/ang_vel_y_l2,568,-0.012564637698233128
model_602,Episode_Reward/ang_vel_y_l2,569,-0.01228746771812439
model_602,Episode_Reward/ang_vel_y_l2,570,-0.012384118512272835
model_602,Episode_Reward/ang_vel_y_l2,571,-0.0131686395034194
model_602,Episode_Reward/ang_vel_y_l2,572,-0.013216777704656124
model_602,Episode_Reward/ang_vel_y_l2,573,-0.012819871306419373
model_602,Episode_Reward/ang_vel_y_l2,574,-0.013687669299542904
model_602,Episode_Reward/ang_vel_y_l2,575,-0.014463918283581734
model_602,Episode_Reward/ang_vel_y_l2,576,-0.014996393583714962
model_602,Episode_Reward/ang_vel_y_l2,577,-0.01565994694828987
model_602,Episode_Reward/ang_vel_y_l2,578,-0.014834154397249222
model_602,Episode_Reward/ang_vel_y_l2,579,-0.014925147406756878
model_602,Episode_Reward/ang_vel_y_l2,580,-0.013953392393887043
model_602,Episode_Reward/ang_vel_y_l2,581,-0.014114527963101864
model_602,Episode_Reward/ang_vel_y_l2,582,-0.01439525093883276
model_602,Episode_Reward/ang_vel_y_l2,583,-0.013588929548859596
model_602,Episode_Reward/ang_vel_y_l2,584,-0.013677793554961681
model_602,Episode_Reward/ang_vel_y_l2,585,-0.013267625123262405
model_602,Episode_Reward/ang_vel_y_l2,586,-0.013243033550679684
model_602,Episode_Reward/ang_vel_y_l2,587,-0.013323215767741203
model_602,Episode_Reward/ang_vel_y_l2,588,-0.013248241506516933
model_602,Episode_Reward/ang_vel_y_l2,589,-0.013357273302972317
model_602,Episode_Reward/ang_vel_y_l2,590,-0.013776215724647045
model_602,Episode_Reward/ang_vel_y_l2,591,-0.012758774682879448
model_602,Episode_Reward/ang_vel_y_l2,592,-0.012981337495148182
model_602,Episode_Reward/ang_vel_y_l2,593,-0.013528905808925629
model_602,Episode_Reward/ang_vel_y_l2,594,-0.013031248934566975
model_602,Episode_Reward/ang_vel_y_l2,595,-0.01235829759389162
model_602,Episode_Reward/ang_vel_y_l2,596,-0.013464574702084064
model_602,Episode_Reward/ang_vel_y_l2,597,-0.01333546545356512
